    road    | grid_intersections | total_intersections | non_grid_intersections 
 1013657228 |                  1 |                   7 |                      6
 1013694407 |                  2 |                   8 |                      6
 1014315648 |                  0 |                   8 |                      8
 1014968112 |                  0 |                   8 |                      8
 1015003670 |                  0 |                   9 |                      9
 1016093383 |                  0 |                   9 |                      9
 1018477106 |                  2 |                  21 |                     19
 1018531960 |                  0 |                   7 |                      7
 1018551409 |                  0 |                   6 |                      6
 1019935165 |                  0 |                   7 |                      7
 1019985671 |                  0 |                  10 |                     10
 1020504841 |                  0 |                   6 |                      6
 1020552027 |                  0 |                   6 |                      6
 1022775282 |                  0 |                   7 |                      7
 1023356840 |                  0 |                   6 |                      6
 1024180525 |                  1 |                   7 |                      6
 1024724719 |                  4 |                  17 |                     13
 1025121807 |                  4 |                  13 |                      9
 1025121816 |                  3 |                   9 |                      6
 1025121823 |                  1 |                   8 |                      7
 1025121824 |                  1 |                   7 |                      6
 1025180172 |                  0 |                   7 |                      7
 1025881200 |                  0 |                   9 |                      9
 1026198532 |                  0 |                   6 |                      6
 1026229751 |                  0 |                   6 |                      6
 1026229752 |                  0 |                   6 |                      6
 1026229753 |                  0 |                   6 |                      6
 1026229754 |                  0 |                   6 |                      6
 1026229755 |                  0 |                   6 |                      6
 1026229758 |                  2 |                   8 |                      6
 1026258373 |                  1 |                   7 |                      6
 1026258384 |                  1 |                   7 |                      6
 1026258388 |                  0 |                   7 |                      7
 1026258389 |                  0 |                   6 |                      6
 1026289295 |                  0 |                   7 |                      7
 1026680931 |                  1 |                   9 |                      8
 1026680932 |                  0 |                   7 |                      7
 1026881651 |                  1 |                   7 |                      6
 1026881652 |                  0 |                   7 |                      7
 1026949048 |                  0 |                  10 |                     10
 1026949049 |                  0 |                   7 |                      7
 1027024381 |                  0 |                   9 |                      9
 1027032998 |                  0 |                  32 |                     32
 1027032999 |                  0 |                  11 |                     11
 1027322966 |                  1 |                   7 |                      6
 1027378556 |                  0 |                   6 |                      6
 1027586794 |                  0 |                   7 |                      7
 1027586795 |                  2 |                   8 |                      6
 1027586797 |                  0 |                   6 |                      6
 1028147593 |                  0 |                   7 |                      7
 1028147598 |                  1 |                   7 |                      6
 1028147608 |                  1 |                   8 |                      7
 1028147615 |                  1 |                   7 |                      6
 1028483943 |                  1 |                   7 |                      6
 1028884784 |                  1 |                  11 |                     10
 1028893083 |                  0 |                   7 |                      7
 1028895951 |                  2 |                  10 |                      8
 1028904654 |                  0 |                   6 |                      6
 1028907469 |                  1 |                  21 |                     20
 1028909213 |                  0 |                   7 |                      7
 1028931124 |                  0 |                   6 |                      6
 1028933194 |                  2 |                  10 |                      8
 1028963809 |                  2 |                   8 |                      6
 1028965946 |                  1 |                   8 |                      7
 1028965947 |                  0 |                   6 |                      6
 1028977866 |                  1 |                   7 |                      6
 1028977867 |                  0 |                   7 |                      7
 1029049093 |                  2 |                   9 |                      7
 1029049095 |                  1 |                   7 |                      6
 1029049098 |                  1 |                   7 |                      6
 1029287899 |                  1 |                   7 |                      6
 1030285245 |                  1 |                   7 |                      6
 1030831543 |                  1 |                   7 |                      6
 1030831544 |                  1 |                   7 |                      6
 1030833403 |                  0 |                   6 |                      6
 1031188220 |                  3 |                   9 |                      6
 1031548662 |                  0 |                   6 |                      6
 1031566421 |                  0 |                  12 |                     12
 1031566422 |                  0 |                  42 |                     42
 1031578903 |                  0 |                   6 |                      6
 1031595045 |                  0 |                  13 |                     13
 1031605312 |                  1 |                  19 |                     18
 1032495671 |                  0 |                   6 |                      6
 1033772445 |                  0 |                   9 |                      9
 1033787981 |                  2 |                  16 |                     14
 1033787982 |                  1 |                   9 |                      8
 1033787983 |                  1 |                   9 |                      8
 1034107753 |                  0 |                   6 |                      6
 1034381388 |                  0 |                   6 |                      6
 1034751724 |                  1 |                   7 |                      6
 1036270881 |                  1 |                   9 |                      8
 1036273222 |                  0 |                   6 |                      6
 1036293586 |                  0 |                   7 |                      7
 1036315660 |                  1 |                  14 |                     13
 1036315668 |                  0 |                   6 |                      6
 1036759958 |                  0 |                   6 |                      6
 1037206346 |                  3 |                  14 |                     11
 1038991232 |                  0 |                   6 |                      6
 1039016070 |                  0 |                   6 |                      6
 1039016071 |                  0 |                   6 |                      6
 1039153240 |                  0 |                   7 |                      7
 1039155377 |                  1 |                  10 |                      9
 1039155378 |                  1 |                  12 |                     11
 1039158240 |                  0 |                   7 |                      7
 1039180687 |                  1 |                  12 |                     11
