    road    | grid_intersections | total_intersections | non_grid_intersections 
------------+--------------------+---------------------+------------------------
    6010857 |                  0 |                  22 |                     22
    6017514 |                 25 |                  33 |                      8
    6018574 |                 22 |                  29 |                      7
    6019573 |                 15 |                  21 |                      6
    6019635 |                 25 |                  32 |                      7
    6021835 |                 28 |                  34 |                      6
    6022782 |                 13 |                  20 |                      7
    6023362 |                 11 |                  18 |                      7
    6023439 |                 41 |                  48 |                      7
    6024826 |                 19 |                  25 |                      6
    6025196 |                 32 |                  45 |                     13
    6025755 |                 28 |                  34 |                      6
    6026023 |                 12 |                  18 |                      6
    6026224 |                 36 |                  46 |                     10
    6026827 |                  4 |                  10 |                      6
    6027214 |                  4 |                  11 |                      7
    6027372 |                  3 |                   9 |                      6
    6027858 |                 26 |                  35 |                      9
    6027916 |                 13 |                  22 |                      9
    6028409 |                 21 |                  27 |                      6
    6029309 |                 30 |                  36 |                      6
    6029532 |                 13 |                  19 |                      6
    6029534 |                 26 |                  34 |                      8
    6029892 |                 11 |                  17 |                      6
    6030242 |                 12 |                  18 |                      6
    6031298 |                 24 |                  36 |                     12
    6031953 |                 17 |                  32 |                     15
    6032310 |                 22 |                  29 |                      7
    6032607 |                  4 |                  10 |                      6
    6032862 |                 26 |                  32 |                      6
    6033021 |                 35 |                  52 |                     17
    6033265 |                  0 |                   6 |                      6
    6033516 |                  4 |                  12 |                      8
    6033663 |                 39 |                  53 |                     14
    6034012 |                 37 |                  46 |                      9
    6034197 |                 20 |                  26 |                      6
    6034464 |                 21 |                  27 |                      6
    6035141 |                 16 |                  23 |                      7
    6035171 |                 30 |                  37 |                      7
    6035281 |                 26 |                  33 |                      7
    6035586 |                 11 |                  18 |                      7
    6035589 |                 16 |                  23 |                      7
    6035723 |                 10 |                  16 |                      6
    6036105 |                 17 |                  25 |                      8
    6036550 |                 14 |                  21 |                      7
    6036594 |                  5 |                  13 |                      8
    6036742 |                 54 |                  62 |                      8
    6036770 |                  9 |                  16 |                      7
    6037334 |                 15 |                  27 |                     12
    6037718 |                  5 |                  11 |                      6
    6037800 |                 10 |                  17 |                      7
    6037801 |                 23 |                  31 |                      8
    6037991 |                 22 |                  32 |                     10
    6038374 |                  2 |                   8 |                      6
    6038749 |                  6 |                  12 |                      6
    6038998 |                  5 |                  13 |                      8
    6039077 |                  7 |                  13 |                      6
    6039337 |                 13 |                  19 |                      6
    6039420 |                 16 |                  28 |                     12
    6039467 |                  9 |                  16 |                      7
    6039846 |                 14 |                  21 |                      7
    6040386 |                 30 |                  43 |                     13
    6040389 |                 13 |                  21 |                      8
    6040776 |                 11 |                  17 |                      6
    6040802 |                 17 |                  31 |                     14
    6040944 |                  9 |                  16 |                      7
    6041186 |                  3 |                  11 |                      8
    6041239 |                 14 |                  20 |                      6
    6041484 |                 30 |                  40 |                     10
    6041520 |                 15 |                  21 |                      6
    6041783 |                  8 |                  15 |                      7
    6042413 |                 10 |                  16 |                      6
    6042485 |                  6 |                  15 |                      9
    6042501 |                 27 |                  40 |                     13
    6042631 |                 13 |                  22 |                      9
    6042868 |                 28 |                  44 |                     16
    6042939 |                  8 |                  15 |                      7
    6042990 |                  6 |                  13 |                      7
    6043188 |                  3 |                  10 |                      7
    6043235 |                  9 |                  15 |                      6
    6043337 |                 18 |                  24 |                      6
    6043340 |                 41 |                  50 |                      9
    6043510 |                 21 |                  31 |                     10
    6043679 |                 23 |                  32 |                      9
    6043858 |                 22 |                  35 |                     13
   18014854 |                 15 |                  24 |                      9
   18015645 |                 12 |                  18 |                      6
   18016754 |                  7 |                  15 |                      8
   18017939 |                  4 |                  10 |                      6
   18017940 |                 22 |                  29 |                      7
   18217405 |                 12 |                  18 |                      6
   18217769 |                 27 |                  41 |                     14
   18220530 |                  8 |                  15 |                      7
   18222790 |                  8 |                  14 |                      6
   18223082 |                  0 |                   6 |                      6
   22560899 |                 10 |                  17 |                      7
   22560941 |                 23 |                  29 |                      6
   22598235 |                  9 |                  15 |                      6
   22649572 |                 16 |                  22 |                      6
   22758825 |                 13 |                  19 |                      6
   22903938 |                 20 |                  26 |                      6
   22927533 |                 37 |                  46 |                      9
   22927534 |                 38 |                  48 |                     10
   22927535 |                 37 |                  46 |                      9
   22927536 |                 22 |                  31 |                      9
   22927537 |                 21 |                  31 |                     10
   23125939 |                 16 |                  22 |                      6
   29116936 |                 28 |                  35 |                      7
   29117026 |                  7 |                  15 |                      8
   34746307 |                  0 |                   8 |                      8
   35394642 |                  8 |                  14 |                      6
   35433673 |                 12 |                  19 |                      7
   35605974 |                  4 |                  11 |                      7
   35605997 |                  7 |                  15 |                      8
   35606023 |                  7 |                  13 |                      6
   35606236 |                 15 |                  25 |                     10
   35607281 |                 11 |                  17 |                      6
   35607860 |                  4 |                  10 |                      6
   36327608 |                 16 |                  23 |                      7
   37022024 |                  6 |                  12 |                      6
   37022029 |                  9 |                  16 |                      7
   37022230 |                 16 |                  22 |                      6
   39335751 |                 17 |                  23 |                      6
   39422548 |                  0 |                   6 |                      6
   39723834 |                 25 |                  32 |                      7
   41006921 |                 11 |                  17 |                      6
   41413493 |                  6 |                  13 |                      7
   42819096 |                  0 |                   8 |                      8
   42819112 |                  0 |                   8 |                      8
   42823723 |                  6 |                  12 |                      6
   42857472 |                  0 |                  11 |                     11
   43094148 |                 23 |                  39 |                     16
   43132580 |                 18 |                  26 |                      8
   43132581 |                  9 |                  16 |                      7
   43287003 |                  9 |                  15 |                      6
   43391725 |                 40 |                  57 |                     17
   43538902 |                 18 |                  27 |                      9
   43882906 |                  1 |                   7 |                      6
   44033614 |                 11 |                  20 |                      9
   45498289 |                 13 |                  20 |                      7
   45719872 |                  2 |                   8 |                      6
   46309759 |                  0 |                   6 |                      6
   46349784 |                  3 |                  10 |                      7
   46648032 |                  4 |                  12 |                      8
   47201130 |                  0 |                   8 |                      8
   47652669 |                  6 |                  13 |                      7
   49861382 |                 14 |                  23 |                      9
   50235907 |                 14 |                  20 |                      6
   52429493 |                  4 |                  10 |                      6
   55057033 |                 14 |                  21 |                      7
   56997538 |                  0 |                  10 |                     10
   57004977 |                  3 |                  10 |                      7
   57004983 |                  2 |                   8 |                      6
   58431758 |                  5 |                  14 |                      9
   58431769 |                  3 |                   9 |                      6
   60500948 |                  6 |                  12 |                      6
   60500952 |                 20 |                  33 |                     13
   61109858 |                 11 |                  31 |                     20
   61239631 |                 11 |                  20 |                      9
   61239632 |                  9 |                  19 |                     10
   61913083 |                 16 |                  23 |                      7
   61956898 |                  6 |                  12 |                      6
   65863441 |                  3 |                  11 |                      8
   65887234 |                  3 |                   9 |                      6
   65887282 |                  3 |                   9 |                      6
   66799402 |                  8 |                  19 |                     11
   67196983 |                  6 |                  12 |                      6
   67196987 |                  9 |                  18 |                      9
   67472185 |                  6 |                  17 |                     11
   67472194 |                 11 |                  24 |                     13
   67472195 |                 18 |                  30 |                     12
   67791697 |                  1 |                  14 |                     13
   69963812 |                  2 |                   8 |                      6
   69963814 |                  8 |                  14 |                      6
   69963828 |                  9 |                  17 |                      8
   69963835 |                  2 |                   9 |                      7
   70079138 |                 15 |                  23 |                      8
   70079173 |                  3 |                   9 |                      6
   70079214 |                  5 |                  12 |                      7
   79274104 |                  2 |                  12 |                     10
   80675885 |                  0 |                   6 |                      6
   80675923 |                  3 |                  15 |                     12
   80675933 |                  0 |                   6 |                      6
   84272072 |                  7 |                  13 |                      6
   84272076 |                  5 |                  21 |                     16
   84506746 |                 16 |                  27 |                     11
   85514092 |                 13 |                  24 |                     11
   86292510 |                  7 |                  13 |                      6
   86292525 |                  8 |                  16 |                      8
   86292528 |                  5 |                  16 |                     11
   86292530 |                  1 |                   7 |                      6
   86292549 |                  1 |                   7 |                      6
   86292554 |                 17 |                  26 |                      9
   86292565 |                 13 |                  22 |                      9
   87650239 |                  2 |                   9 |                      7
   87651979 |                  5 |                  11 |                      6
   90961593 |                 10 |                  18 |                      8
   90961595 |                  4 |                  12 |                      8
   92189551 |                 12 |                  25 |                     13
   92367271 |                 11 |                  22 |                     11
   92367278 |                  9 |                  16 |                      7
   92367280 |                  2 |                   8 |                      6
   92367283 |                  7 |                  17 |                     10
   92367284 |                 10 |                  16 |                      6
   92367285 |                  8 |                  17 |                      9
   92796072 |                 14 |                  20 |                      6
   92829733 |                  5 |                  14 |                      9
   92829740 |                  3 |                   9 |                      6
   92986383 |                  5 |                  12 |                      7
   92986388 |                  5 |                  11 |                      6
   92986437 |                  6 |                  13 |                      7
   92986447 |                  5 |                  11 |                      6
   92986450 |                  4 |                  10 |                      6
   92986464 |                  3 |                  13 |                     10
   92986474 |                 10 |                  20 |                     10
   93628972 |                 28 |                  40 |                     12
   93628995 |                  3 |                  10 |                      7
   93629005 |                  4 |                  10 |                      6
   93629007 |                 17 |                  23 |                      6
   93684686 |                  3 |                   9 |                      6
   93684691 |                  5 |                  14 |                      9
   93684701 |                 10 |                  17 |                      7
   93684702 |                  4 |                  13 |                      9
   93835322 |                 12 |                  19 |                      7
   93835324 |                 21 |                  33 |                     12
   93835328 |                 12 |                  18 |                      6
   94055833 |                  1 |                   8 |                      7
   94055834 |                  9 |                  16 |                      7
   94055836 |                 12 |                  19 |                      7
   94055837 |                  1 |                   7 |                      6
   94055838 |                  3 |                   9 |                      6
   95253488 |                  8 |                  17 |                      9
   95253499 |                  6 |                  12 |                      6
   95253509 |                  9 |                  17 |                      8
   95253545 |                 12 |                  21 |                      9
   95253564 |                  9 |                  19 |                     10
   95253570 |                  4 |                  13 |                      9
   95253573 |                  7 |                  14 |                      7
   99447351 |                 12 |                  34 |                     22
   99663981 |                  2 |                   9 |                      7
   99663990 |                  2 |                   8 |                      6
  101142018 |                  4 |                  10 |                      6
  101470130 |                  7 |                  13 |                      6
  103320102 |                  5 |                  11 |                      6
  107607419 |                 15 |                  30 |                     15
  110537746 |                  3 |                  11 |                      8
  114496598 |                  2 |                   8 |                      6
  114498261 |                  6 |                  12 |                      6
  114498307 |                  5 |                  12 |                      7
  114498662 |                 14 |                  39 |                     25
  114550623 |                  8 |                  16 |                      8
  116426189 |                 10 |                  20 |                     10
  116845409 |                 15 |                  21 |                      6
  116852011 |                  4 |                  10 |                      6
  116951788 |                 23 |                  32 |                      9
  116952616 |                  2 |                   8 |                      6
  117299741 |                  5 |                  13 |                      8
  118076804 |                 16 |                  37 |                     21
  119059393 |                  9 |                  15 |                      6
  123222409 |                  1 |                   7 |                      6
  123445127 |                  4 |                  15 |                     11
  125438251 |                 23 |                  42 |                     19
  125438266 |                 15 |                  25 |                     10
  125438271 |                 18 |                  24 |                      6
  126010761 |                  6 |                  12 |                      6
  126102171 |                 13 |                  22 |                      9
  126155306 |                  2 |                   9 |                      7
  127835385 |                 19 |                  31 |                     12
  128802515 |                  7 |                  14 |                      7
  128828074 |                 24 |                  38 |                     14
  128828405 |                  5 |                  13 |                      8
  129368385 |                 12 |                  18 |                      6
  129368386 |                 13 |                  20 |                      7
  129438399 |                  0 |                   9 |                      9
  129729057 |                 13 |                  23 |                     10
  129778223 |                  5 |                  12 |                      7
  129788231 |                 14 |                  20 |                      6
  129898065 |                  4 |                  19 |                     15
  130772835 |                  8 |                  20 |                     12
  130772844 |                  1 |                   7 |                      6
  130923273 |                  8 |                  16 |                      8
  131084298 |                  3 |                   9 |                      6
  131220495 |                  4 |                  10 |                      6
  132682908 |                  0 |                  12 |                     12
  132777524 |                 13 |                  23 |                     10
  132894753 |                  9 |                  15 |                      6
  132894754 |                  3 |                   9 |                      6
  136038824 |                  0 |                   7 |                      7
  136112905 |                  0 |                   7 |                      7
  136112915 |                  0 |                   7 |                      7
  136984854 |                  9 |                  25 |                     16
  136984857 |                  0 |                   6 |                      6
  136984858 |                  1 |                   7 |                      6
  136984859 |                  3 |                  10 |                      7
  136984861 |                  9 |                  16 |                      7
  136984870 |                  2 |                   8 |                      6
  136984871 |                  4 |                  11 |                      7
  138068605 |                  3 |                  10 |                      7
  139633361 |                  2 |                   8 |                      6
  139872599 |                 13 |                  24 |                     11
  139872600 |                  9 |                  18 |                      9
  139874176 |                 13 |                  19 |                      6
  139899459 |                 19 |                  32 |                     13
  139918558 |                  5 |                  11 |                      6
  139918581 |                  4 |                  10 |                      6
  139918585 |                  5 |                  11 |                      6
  139931702 |                  2 |                   8 |                      6
  140349846 |                  9 |                  15 |                      6
  140350582 |                  3 |                   9 |                      6
  140399100 |                  0 |                   8 |                      8
  140405100 |                  5 |                  13 |                      8
  140637388 |                  2 |                   8 |                      6
  141225859 |                  1 |                   9 |                      8
  143297653 |                  4 |                  11 |                      7
  143349227 |                  1 |                   7 |                      6
  143350670 |                  6 |                  13 |                      7
  143350672 |                  0 |                   6 |                      6
  143903013 |                  1 |                   7 |                      6
  145461801 |                  4 |                  10 |                      6
  145461802 |                  1 |                  12 |                     11
  145461816 |                  2 |                  10 |                      8
  146128106 |                 10 |                  33 |                     23
  146135515 |                  3 |                  11 |                      8
  146155910 |                  3 |                  12 |                      9
  147479086 |                  9 |                  19 |                     10
  147842088 |                  4 |                  10 |                      6
  147844970 |                 23 |                  50 |                     27
  148158225 |                 14 |                  22 |                      8
  148286609 |                  2 |                  11 |                      9
  148286611 |                  2 |                  10 |                      8
  148743991 |                  1 |                  10 |                      9
  148745186 |                  1 |                  12 |                     11
  148829591 |                  4 |                  11 |                      7
  149496169 |                 17 |                  30 |                     13
  149510694 |                  0 |                   6 |                      6
  151368636 |                  7 |                  18 |                     11
  155094748 |                  5 |                  12 |                      7
  156414980 |                  0 |                   7 |                      7
  156576577 |                  4 |                  10 |                      6
  156578226 |                  1 |                   9 |                      8
  156578227 |                  0 |                   8 |                      8
  156976508 |                 12 |                  20 |                      8
  157025275 |                  0 |                   7 |                      7
  157190233 |                 10 |                  19 |                      9
  157358732 |                  5 |                  11 |                      6
  157652983 |                  5 |                  26 |                     21
  158105676 |                  0 |                   6 |                      6
  158709501 |                  0 |                   7 |                      7
  158811565 |                  4 |                  10 |                      6
  158825354 |                  8 |                  15 |                      7
  158825359 |                 16 |                  22 |                      6
  158825367 |                  4 |                  10 |                      6
  158825373 |                  6 |                  13 |                      7
  158938173 |                  2 |                  12 |                     10
  159369603 |                  3 |                   9 |                      6
  159934182 |                  1 |                   8 |                      7
  160065655 |                  4 |                  10 |                      6
  160147840 |                  6 |                  16 |                     10
  160828925 |                  4 |                  15 |                     11
  161366855 |                  2 |                  10 |                      8
  161367733 |                  2 |                  11 |                      9
  161610193 |                 16 |                  28 |                     12
  161617512 |                  1 |                   7 |                      6
  161617513 |                  0 |                   7 |                      7
  161841832 |                  3 |                  11 |                      8
  161841834 |                 12 |                  18 |                      6
  163106617 |                  2 |                  10 |                      8
  163106620 |                  0 |                   6 |                      6
  163125074 |                  5 |                  14 |                      9
  163125097 |                  0 |                   6 |                      6
  163350552 |                  1 |                  12 |                     11
  163350607 |                  9 |                  15 |                      6
  163350700 |                  2 |                   8 |                      6
  163350748 |                  5 |                  12 |                      7
  163350749 |                  3 |                   9 |                      6
  164659309 |                 10 |                  16 |                      6
  166078200 |                  1 |                   7 |                      6
  166386408 |                  4 |                  10 |                      6
  166552293 |                  0 |                   6 |                      6
  166641800 |                 10 |                  18 |                      8
  169288187 |                  3 |                  11 |                      8
  169389363 |                  3 |                   9 |                      6
  169398278 |                  5 |                  15 |                     10
  170401659 |                 25 |                  39 |                     14
  170402501 |                 20 |                  27 |                      7
  170528355 |                  6 |                  14 |                      8
  170856536 |                  1 |                   7 |                      6
  170856560 |                  1 |                   8 |                      7
  170856562 |                 14 |                  24 |                     10
  170930069 |                  3 |                   9 |                      6
  170932595 |                  5 |                  16 |                     11
  171947913 |                  0 |                   8 |                      8
  171947924 |                  4 |                  18 |                     14
  171947932 |                  2 |                   9 |                      7
  174002253 |                  0 |                   6 |                      6
  174007888 |                  5 |                  11 |                      6
  174010065 |                  4 |                  10 |                      6
  174010603 |                  4 |                  12 |                      8
  177032145 |                  1 |                  10 |                      9
  177926549 |                  4 |                  15 |                     11
  177926552 |                  2 |                  10 |                      8
  178547027 |                  1 |                   9 |                      8
  179078525 |                 30 |                  37 |                      7
  179212942 |                  7 |                  15 |                      8
  179301053 |                  2 |                   8 |                      6
  179301054 |                  2 |                  12 |                     10
  179909228 |                  1 |                   9 |                      8
  179909233 |                  0 |                   7 |                      7
  179909235 |                 10 |                  20 |                     10
  179909284 |                  2 |                   8 |                      6
  179909286 |                  2 |                   8 |                      6
  179909297 |                  1 |                   7 |                      6
  179909302 |                  3 |                   9 |                      6
  179910644 |                  6 |                  12 |                      6
  182104220 |                  5 |                  11 |                      6
  183186779 |                  0 |                   6 |                      6
  183239664 |                  1 |                   7 |                      6
  183239666 |                  3 |                  10 |                      7
  183239672 |                 13 |                  27 |                     14
  183239681 |                  4 |                  10 |                      6
  183239688 |                  4 |                  10 |                      6
  183239691 |                  6 |                  16 |                     10
  183239692 |                  3 |                  17 |                     14
  183239693 |                  3 |                   9 |                      6
  183239699 |                  1 |                   7 |                      6
  183239700 |                  6 |                  13 |                      7
  183239702 |                 11 |                  19 |                      8
  183239703 |                  6 |                  13 |                      7
  183382458 |                  2 |                   8 |                      6
  183382459 |                  4 |                  11 |                      7
  183382464 |                  9 |                  18 |                      9
  183455938 |                  2 |                   8 |                      6
  183455959 |                  1 |                   8 |                      7
  183455962 |                  5 |                  11 |                      6
  183565965 |                 14 |                  23 |                      9
  183565967 |                  8 |                  25 |                     17
  183565976 |                  9 |                  16 |                      7
  183932497 |                  1 |                   7 |                      6
  183934264 |                  7 |                  13 |                      6
  183934269 |                  1 |                   7 |                      6
  184094600 |                  3 |                  11 |                      8
  184094601 |                  1 |                   7 |                      6
  184102595 |                  6 |                  24 |                     18
  184102598 |                  4 |                  11 |                      7
  184102599 |                  2 |                   8 |                      6
  184240681 |                  6 |                  12 |                      6
  184240686 |                  9 |                  15 |                      6
  184240693 |                  2 |                  12 |                     10
  184430737 |                  1 |                   9 |                      8
  187249409 |                  2 |                   8 |                      6
  187892839 |                 10 |                  19 |                      9
  188407161 |                  5 |                  21 |                     16
  188407174 |                  3 |                  10 |                      7
  188407186 |                  4 |                  15 |                     11
  192484776 |                  4 |                  13 |                      9
  192484779 |                  4 |                  11 |                      7
  194034445 |                  3 |                  11 |                      8
  194055915 |                  5 |                  12 |                      7
  194055969 |                  2 |                   8 |                      6
  194058336 |                  0 |                   9 |                      9
  194117887 |                  0 |                   8 |                      8
  195693995 |                  2 |                   9 |                      7
  196381456 |                  3 |                  10 |                      7
  198506911 |                  1 |                  14 |                     13
  199761254 |                 16 |                  23 |                      7
  199807578 |                 11 |                  18 |                      7
  199807583 |                  8 |                  15 |                      7
  199807594 |                 12 |                  22 |                     10
  199807607 |                  1 |                   7 |                      6
  199807618 |                  0 |                   6 |                      6
  199925848 |                  2 |                  10 |                      8
  201813138 |                  0 |                   6 |                      6
  201813141 |                  1 |                  12 |                     11
  202029557 |                  7 |                  17 |                     10
  202030165 |                  1 |                   9 |                      8
  202052001 |                  0 |                   6 |                      6
  202057757 |                  6 |                  12 |                      6
  202139327 |                  0 |                   6 |                      6
  202193751 |                  3 |                   9 |                      6
  202196320 |                  6 |                  12 |                      6
  202223370 |                  0 |                   6 |                      6
  202223959 |                  5 |                  13 |                      8
  202228022 |                  2 |                   8 |                      6
  202230895 |                  3 |                  12 |                      9
  202230900 |                  0 |                   6 |                      6
  202302050 |                  1 |                   7 |                      6
  202302913 |                  4 |                  23 |                     19
  202305499 |                  2 |                  10 |                      8
  202305641 |                  4 |                  11 |                      7
  202308155 |                  5 |                  13 |                      8
  202336315 |                  1 |                  10 |                      9
  202337891 |                  7 |                  13 |                      6
  202338706 |                  2 |                   8 |                      6
  202338713 |                  3 |                   9 |                      6
  202346299 |                 10 |                  26 |                     16
  202360214 |                  6 |                  18 |                     12
  202483681 |                  2 |                  23 |                     21
  202485953 |                  3 |                  13 |                     10
  202573342 |                  4 |                  10 |                      6
  202573466 |                  1 |                   8 |                      7
  202622977 |                  2 |                   9 |                      7
  202623126 |                  1 |                   9 |                      8
  202623127 |                  5 |                  21 |                     16
  202623208 |                 12 |                  22 |                     10
  202623337 |                 13 |                  36 |                     23
  202623338 |                  1 |                   8 |                      7
  202623351 |                 13 |                  40 |                     27
  202719900 |                  2 |                  28 |                     26
  202719984 |                  2 |                   9 |                      7
  202720737 |                  4 |                  15 |                     11
  202723474 |                  2 |                  10 |                      8
  202724322 |                  2 |                  11 |                      9
  202724324 |                  0 |                   7 |                      7
  202724653 |                  0 |                   6 |                      6
  202725732 |                  2 |                   8 |                      6
  202725733 |                  2 |                   9 |                      7
  202725850 |                  2 |                   8 |                      6
  202726307 |                  1 |                  12 |                     11
  202728834 |                  6 |                  12 |                      6
  202732466 |                  8 |                  14 |                      6
  202733194 |                  5 |                  24 |                     19
  202733577 |                  3 |                   9 |                      6
  202736784 |                  1 |                   7 |                      6
  202763966 |                 15 |                  22 |                      7
  202764472 |                  9 |                  24 |                     15
  202819794 |                 15 |                  32 |                     17
  202820732 |                 16 |                  33 |                     17
  202889399 |                 18 |                  34 |                     16
  202889414 |                  7 |                  13 |                      6
  202889637 |                  0 |                  14 |                     14
  202889639 |                  8 |                  45 |                     37
  202889640 |                  5 |                  20 |                     15
  203027186 |                  4 |                  12 |                      8
  203045735 |                  1 |                   7 |                      6
  203046032 |                  2 |                   8 |                      6
  203046056 |                  2 |                  12 |                     10
  203046194 |                  3 |                  11 |                      8
  203046195 |                 10 |                  21 |                     11
  203046375 |                  6 |                  20 |                     14
  203046376 |                  4 |                  18 |                     14
  203046378 |                 16 |                  26 |                     10
  203046441 |                  6 |                  14 |                      8
  203046442 |                  8 |                  16 |                      8
  203047280 |                  4 |                  12 |                      8
  203047344 |                  4 |                  13 |                      9
  203047346 |                  0 |                   7 |                      7
  203047360 |                  6 |                  15 |                      9
  203047361 |                  4 |                  10 |                      6
  203047817 |                  2 |                   9 |                      7
  203047981 |                  2 |                   9 |                      7
  203048301 |                  1 |                   9 |                      8
  203048538 |                  9 |                  24 |                     15
  203541543 |                 10 |                  19 |                      9
  203541579 |                  9 |                  18 |                      9
  203541962 |                  4 |                  16 |                     12
  203653765 |                  2 |                   8 |                      6
  203805476 |                 10 |                  20 |                     10
  204034185 |                 11 |                  19 |                      8
  204339005 |                  4 |                  11 |                      7
  204339177 |                  7 |                  13 |                      6
  204339182 |                  8 |                  14 |                      6
