   osm_id   |    min_longitude    
------------+---------------------
  932902211 | -10390514.627777511
  636334300 | -10390476.111233698
   46349784 |  -10390470.87921763
  697324308 | -10390469.220557217
  932902216 | -10390465.981160037
 1080052786 | -10390435.791314134
  636434061 | -10390430.358922983
  436392410 | -10390421.152801093
  759871146 | -10390392.643879501
  636434059 | -10390269.068112772
  475697975 | -10390234.369827492
  972387387 |  -10390212.85176992
    6023362 | -10390202.487925328
  927743700 | -10390202.209626602
    6026023 | -10389909.906907676
  969633694 |  -10389903.20547433
 1110394046 | -10389895.179339044
 1007361866 | -10389873.561093932
  967392654 | -10389872.158468347
  967392656 | -10389761.807457125
 1023356840 |  -10389756.29714233
 1031548662 |  -10389752.20058507
  967392657 |  -10389735.85888382
  916899433 | -10389693.401630033
  229808367 | -10389667.631167915
  969633685 | -10389660.540116351
  916899420 | -10389644.421054084
  969633682 | -10389637.062835744
  967392689 | -10389610.780303964
  933383201 | -10389605.937906114
 1000598240 | -10389598.557423875
  967392690 |  -10389593.57031069
  652449767 | -10389588.894892076
  933383200 | -10389575.970699195
  969633686 | -10389495.186144726
    6032607 | -10389442.353914395
  652977158 | -10389421.481509872
 1008754986 | -10389406.208475735
  639531070 | -10389406.197343785
  969633768 | -10389360.745595695
 1030285245 | -10389355.146225309
  731081460 | -10389345.116339188
  125438251 | -10389343.858428942
 1030833403 |  -10389342.31108802
    6042485 | -10389340.786010997
  654107289 | -10389340.429788625
  916899465 | -10389337.546613814
  636334299 | -10389337.034544157
  916899439 | -10389335.242300356
  916899456 | -10389335.097585017
    6039077 | -10389334.418536123
  916899440 | -10389330.923104111
  917616145 |  -10389330.82291657
  916899443 | -10389330.622541485
  917616139 | -10389327.750498623
  495297335 | -10389313.212173127
  637515856 | -10389312.978402195
 1006085215 | -10389296.235950781
  636434052 | -10389293.408435715
  698992079 | -10389284.335897215
  630744129 | -10389280.751409613
 1108068705 | -10389270.632467898
 1049740923 | -10389269.374557652
 1049740924 |  -10389236.85813439
  649718381 | -10389229.511047998
  916899463 | -10389197.284055414
    6029892 | -10389196.938964993
  917616146 | -10389187.209641498
  364537100 |    -10389185.350606
  166641800 | -10389126.785421897
